Yr_Sold,1st_Flr_SF,Bedroom_AbvGr,Bldg_Type,Bsmt_Full_Bath,Bsmt_Half_Bath,Central_Air,Condition_1,Condition_2,Electrical,Exter_Cond,Exter_Qual,Exterior_1st,Exterior_2nd,Foundation,Full_Bath,Functional,Gr_Liv_Area,Half_Bath,Heating,Heating_QC,House_Style,Kitchen_AbvGr,Kitchen_Qual,Land_Contour,Land_Slope,Lot_Area,Lot_Config,Lot_Shape,MS_SubClass,MS_Zoning,Mas_Vnr_Type,Mo_Sold,Neighborhood,Overall_Cond,Overall_Qual,Paved_Drive,Roof_Matl,Roof_Style,SalePrice,Sale_Condition,Sale_Type,Street,TotRms_AbvGrd,Utilities,Year_Built,Year_Remod/Add
2009-01-01,882,2,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,MetalSd,MetalSd,CBlock,1,Typ,882,0,GasA,TA,1Story,1,TA,Lvl,Gtl,13008,Inside,IR1,20,RL,None,10,NAmes,5,6,Y,CompShg,Gable,124500,Normal,WD ,Pave,5,AllPub,1956,1956
2009-01-01,1434,4,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,1434,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10200,Inside,Reg,20,RL,BrkFace,6,NAmes,5,6,Y,CompShg,Hip,157000,Normal,WD ,Pave,7,AllPub,1974,1974
2009-01-01,2000,4,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,Plywood,Wd Sdng,CBlock,2,Typ,2704,1,GasA,Gd,SLvl,1,Ex,Lvl,Gtl,13860,Inside,Reg,80,RL,None,7,NAmes,7,8,Y,CompShg,Gable,345000,Normal,WD ,Pave,9,AllPub,1972,1995
2009-01-01,945,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1608,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10179,Corner,IR1,60,RL,None,7,Gilbert,5,6,Y,CompShg,Gable,189500,Normal,WD ,Pave,7,AllPub,1997,1997
2009-01-01,1008,4,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,2283,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11792,Inside,IR1,60,RL,BrkFace,8,Gilbert,5,8,Y,CompShg,Gable,270000,Normal,WD ,Pave,9,AllPub,2003,2003
2009-01-01,958,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1628,1,GasA,Gd,SLvl,1,TA,Lvl,Gtl,8400,Inside,Reg,80,RL,BrkFace,6,Gilbert,5,7,Y,CompShg,Gable,189000,Normal,WD ,Pave,7,AllPub,1996,1997
2009-01-01,1746,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Ex,VinylSd,VinylSd,PConc,2,Typ,1746,0,GasA,Ex,1Story,1,Ex,HLS,Gtl,14892,CulDSac,IR1,20,RL,Stone,10,Gilbert,5,9,Y,CompShg,Gable,377500,Normal,WD ,Pave,7,AllPub,2006,2007
2009-01-01,804,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1474,1,GasA,Gd,SLvl,1,TA,Lvl,Gtl,8530,Inside,IR1,80,RL,BrkFace,5,Gilbert,5,7,Y,CompShg,Gable,168500,Normal,WD ,Pave,7,AllPub,1995,1996
2009-01-01,2522,1,TwnhsE,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,PConc,2,Typ,2522,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,7296,CulDSac,IR1,120,RL,None,11,StoneBr,5,8,Y,CompShg,Gable,375000,Normal,WD ,Pave,8,AllPub,2004,2005
2009-01-01,1659,2,TwnhsE,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,PConc,2,Typ,1659,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,5664,Inside,IR1,120,RL,None,10,StoneBr,5,8,Y,CompShg,Gable,278000,Normal,WD ,Pave,5,AllPub,2000,2000
2009-01-01,1478,2,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,CemntBd,CmentBd,PConc,2,Typ,1478,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7380,Corner,IR1,120,RL,None,7,StoneBr,5,8,Y,CompShg,Gable,240000,Normal,WD ,Pave,5,AllPub,1998,1998
2009-01-01,1734,2,TwnhsE,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,PConc,2,Typ,1734,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8013,Corner,IR1,120,RL,None,9,StoneBr,5,8,Y,CompShg,Gable,239500,Normal,WD ,Pave,6,AllPub,1995,1996
2009-01-01,751,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1382,1,GasA,Gd,SLvl,1,TA,Lvl,Gtl,8923,Inside,IR1,80,RL,None,2,Gilbert,5,7,Y,CompShg,Gable,177500,Normal,WD ,Pave,7,AllPub,1998,1998
2009-01-01,885,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1718,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,10141,Corner,IR1,60,RL,BrkFace,12,Gilbert,5,7,Y,CompShg,Gable,185000,Normal,WD ,Pave,7,AllPub,1998,1998
2009-01-01,952,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1636,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,7500,Inside,Reg,60,RL,None,10,Gilbert,5,6,Y,CompShg,Gable,191000,Normal,WD ,Pave,7,AllPub,1998,1999
2009-01-01,799,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1571,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,7837,Inside,IR1,60,RL,None,5,Gilbert,7,6,Y,CompShg,Gable,178000,Normal,WD ,Pave,7,AllPub,1993,1994
2009-01-01,680,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,Gd,Ex,VinylSd,VinylSd,PConc,2,Typ,1470,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,9765,Corner,IR2,60,RL,BrkFace,4,Gilbert,8,6,Y,CompShg,Gable,185000,Normal,WD ,Pave,6,AllPub,1993,1993
2009-01-01,707,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1516,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,8803,Inside,IR1,60,RL,None,7,Gilbert,5,6,Y,CompShg,Gable,181316,Normal,WD ,Pave,7,AllPub,1994,1995
2009-01-01,1190,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1190,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,7250,Inside,Reg,20,RL,BrkFace,11,Gilbert,5,6,Y,CompShg,Gable,166000,Normal,WD ,Pave,6,AllPub,1993,1993
2009-01-01,808,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1593,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,9636,Corner,IR1,60,RL,None,12,Gilbert,5,6,Y,CompShg,Gable,178000,Normal,WD ,Pave,7,AllPub,1992,1993
2009-01-01,702,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1481,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,8125,Inside,Reg,60,RL,None,3,Gilbert,5,6,Y,CompShg,Gable,174000,Normal,WD ,Pave,6,AllPub,1994,1995
2009-01-01,1167,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1167,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,9248,Inside,IR1,20,RL,BrkFace,7,Gilbert,6,6,Y,CompShg,Gable,173000,Normal,WD ,Pave,6,AllPub,1992,1992
2009-01-01,1005,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1983,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10762,CulDSac,IR1,60,RL,None,5,Gilbert,5,7,Y,CompShg,Gable,225000,Normal,WD ,Pave,9,AllPub,1999,1999
2009-01-01,1442,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1442,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11851,Corner,Reg,20,RL,None,5,Gilbert,5,7,Y,CompShg,Gable,180500,Normal,WD ,Pave,5,AllPub,1990,1990
2009-01-01,1360,1,TwnhsE,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,HdBoard,HdBoard,CBlock,1,Typ,1360,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,5814,CulDSac,IR1,120,RL,None,8,StoneBr,5,8,Y,CompShg,Gable,187500,Abnorml,COD,Pave,4,AllPub,1984,1984
2009-01-01,2234,1,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Ex,VinylSd,VinylSd,PConc,2,Typ,2234,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,17423,CulDSac,IR1,20,RL,Stone,7,StoneBr,5,9,Y,CompShg,Hip,501837,Partial,New,Pave,9,AllPub,2008,2009
2009-01-01,2046,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,2046,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11844,Inside,IR1,20,RL,Stone,7,StoneBr,5,8,Y,CompShg,Hip,372500,Partial,New,Pave,7,AllPub,2008,2008
2009-01-01,1530,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1530,0,GasA,Ex,1Story,1,Gd,Low,Mod,16158,Inside,IR1,20,RL,Stone,6,StoneBr,5,7,Y,CompShg,Hip,260000,Normal,WD ,Pave,7,AllPub,2005,2005
2009-01-01,946,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,Wd Sdng,PConc,2,Typ,1934,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,11900,Inside,Reg,60,RL,BrkFace,7,Gilbert,6,5,P,CompShg,Gable,185000,Normal,WD ,Pave,6,AllPub,1977,1977
2009-01-01,1153,4,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,CBlock,2,Typ,2353,1,GasA,TA,2Story,1,Ex,Lvl,Gtl,13005,Corner,IR1,60,RL,BrkFace,8,NWAmes,7,7,Y,CompShg,Gable,260000,Normal,WD ,Pave,10,AllPub,1980,1980
2009-01-01,1586,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,Gd,TA,HdBoard,HdBoard,CBlock,2,Typ,1586,0,GasA,TA,1Story,1,TA,Lvl,Gtl,17043,CulDSac,IR1,20,RL,None,1,NWAmes,5,6,Y,CompShg,Gable,181000,Normal,WD ,Pave,7,AllPub,1979,1998
2009-01-01,1411,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,Gd,TA,Plywood,Plywood,CBlock,2,Typ,1411,0,GasA,TA,1Story,1,TA,Lvl,Gtl,11900,Inside,Reg,20,RL,BrkFace,4,NWAmes,5,7,Y,CompShg,Hip,82500,Family,WD ,Pave,6,AllPub,1977,1977
2009-01-01,1602,3,1Fam,0.0,1.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,CBlock,2,Typ,1602,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,16635,FR2,IR1,20,RL,Stone,6,NWAmes,7,6,Y,CompShg,Gable,215000,Normal,WD ,Pave,8,AllPub,1977,2000
2009-01-01,1154,4,1Fam,0.0,0.0,Y,RRNn,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,2050,1,GasA,TA,2Story,1,Gd,Lvl,Gtl,13250,Inside,IR1,60,RL,BrkFace,5,NWAmes,6,7,Y,CompShg,Gable,154000,Abnorml,WD ,Pave,8,AllPub,1978,1978
2009-01-01,1671,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1671,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10928,Inside,Reg,20,RL,BrkFace,8,NWAmes,6,6,Y,CompShg,Gable,200000,Normal,WD ,Pave,7,AllPub,1978,1986
2009-01-01,1539,4,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,2673,1,GasA,TA,2Story,1,Gd,Lvl,Gtl,12388,Inside,IR1,60,RL,BrkFace,8,NWAmes,7,7,Y,CompShg,Gable,249000,Normal,WD ,Pave,9,AllPub,1980,1991
2009-01-01,1472,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,1472,0,GasA,TA,SLvl,1,TA,Lvl,Gtl,14115,Inside,Reg,80,RL,BrkFace,6,NWAmes,5,7,Y,CompShg,Gable,187500,Normal,WD ,Pave,6,AllPub,1980,1980
2009-01-01,1707,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1707,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,11088,Inside,Reg,20,RL,BrkFace,5,NWAmes,5,6,Y,CompShg,Gable,184000,Normal,WD ,Pave,7,AllPub,1978,1998
2009-01-01,2524,4,1Fam,1.0,0.0,Y,PosN,Norm,SBrkr,TA,Gd,BrkFace,BrkFace,PConc,2,Typ,2524,1,GasA,TA,1Story,1,Gd,Lvl,Gtl,9600,Inside,Reg,20,RL,None,7,NWAmes,5,8,Y,WdShngl,Hip,278000,Normal,WD ,Pave,9,AllPub,1981,1981
2009-01-01,1601,3,1Fam,0.0,0.0,Y,RRAn,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,1601,0,GasA,TA,1Story,1,TA,Lvl,Gtl,11880,Inside,IR1,20,RL,BrkFace,4,NWAmes,5,7,Y,CompShg,Gable,157000,Abnorml,COD,Pave,7,AllPub,1978,1978
2009-01-01,1370,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,1370,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10400,Inside,Reg,20,RL,BrkFace,6,NWAmes,5,7,Y,CompShg,Gable,152000,Family,WD ,Pave,6,AllPub,1976,1976
2009-01-01,1088,4,1Fam,1.0,0.0,Y,PosN,Norm,SBrkr,Gd,TA,Plywood,Plywood,CBlock,2,Typ,1868,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10304,CulDSac,IR1,60,RL,BrkFace,10,NWAmes,7,5,Y,CompShg,Gable,197500,Normal,WD ,Pave,9,AllPub,1976,1976
2009-01-01,1016,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,CemntBd,CmentBd,PConc,2,Typ,1884,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,7000,Inside,Reg,60,FV,None,6,Somerst,5,7,Y,CompShg,Gable,240900,Normal,WD ,Pave,7,AllPub,2003,2003
2009-01-01,832,3,1Fam,1.0,0.0,Y,RRAn,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1935,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,8004,Inside,IR1,60,FV,Stone,12,Somerst,5,8,Y,CompShg,Gable,263435,Partial,New,Pave,8,AllPub,2009,2009
